-119812.01171875,	-2.25365,	-1.40585,	18.7804,	-12.3271,	4.27407,	-8.13114,
-119735.717773438,	1.50721,	-24.4465,	-9.10791,	36.6175,	8.32758,	-4.9541,
-119659.423828125,	1.90178,	29.3057,	-4.68291,	-33.4092,	-15.3987,	8.97972,
-119583.129882812,	9.01372,	0.354897,	19.7161,	12.7047,	18.2993,	-0.333665,
-119506.8359375,	-11.6018,	-12.8741,	-16.7856,	0.686544,	-23.6813,	-4.58681,
-119430.541992188,	-10.8061,	3.13616,	-3.96859,	0.251433,	16.3172,	-9.18784,
-119354.248046875,	21.7176,	-5.26459,	17.8863,	-12.1094,	10.1136,	30.2096,
-119277.954101562,	-13.292,	7.20897,	-16.6126,	14.1096,	-41.9218,	-39.3214,
-119201.66015625,	8.74306,	11.3244,	9.60989,	0.805794,	46.3519,	46.862,
-119125.366210938,	-3.95543,	-34.627,	-12.9799,	-15.7088,	-26.6903,	-50.0734,
-119049.072265625,	2.64318,	33.6701,	27.9001,	21.09,	7.57823,	31.1253,
-118972.778320312,	-6.61309,	-11.6153,	-27.0367,	-17.3009,	-4.21527,	-1.86139,
-118896.484375,	9.73434,	-9.97402,	6.20722,	5.64486,	27.6616,	-15.1939,
-118820.190429688,	-10.2969,	22.6251,	13.4704,	12.6513,	-35.9807,	21.1749,
-118743.896484375,	7.64748,	-24.2697,	-19.7675,	-26.1439,	13.3892,	-26.5894,
-118667.602539062,	-1.90313,	19.6312,	-1.73916,	28.5821,	-1.78146,	26.8352,
-118591.30859375,	-7.06936,	-7.84229,	38.3109,	-20.2154,	7.3523,	-13.2677,
-118515.014648438,	20.257,	0.558535,	-39.0071,	13.7411,	-16.1837,	-5.96399,
-118438.720703125,	-28.1356,	-6.86363,	4.04655,	-20.1279,	25.3016,	4.57328,
-118362.426757812,	22.6147,	8.79277,	15.0649,	20.8312,	-33.2334,	13.3706,
-118286.1328125,	-17.0382,	-9.39354,	0.15704,	-15.0937,	20.1752,	-10.7383,
-118209.838867188,	14.7457,	14.0279,	-22.3344,	8.53749,	-3.49134,	-15.8042,
-118133.544921875,	-4.68782,	-9.74564,	20.8819,	1.40175,	11.1524,	32.0154,
-118057.250976562,	-0.731665,	7.77793,	0.644958,	-3.73089,	-8.77244,	-14.1435,
-117980.95703125,	-11.384,	-21.3714,	-23.9776,	16.3054,	-13.091,	-9.18494,
-117904.663085938,	29.7837,	21.7539,	35.4264,	-36.8445,	18.432,	15.9027,
-117828.369140625,	-46.9123,	-4.64679,	-32.8318,	32.4328,	5.71988,	-22.7569,
-117752.075195312,	51.2971,	-9.3455,	21.9332,	-18.1872,	-21.1385,	15.5519,
-117675.78125,	-35.4972,	15.3256,	-16.5907,	4.08159,	2.16617,	9.0492,
-117599.487304688,	19.0535,	-8.97397,	13.8528,	8.97063,	1.46018,	-28.7289,
-117523.193359375,	-29.9757,	18.6026,	-13.7531,	-8.61181,	21.1055,	26.6179,
-117446.899414062,	55.4564,	-32.9733,	36.5419,	10.442,	-27.9851,	-5.83134,
-117370.60546875,	-53.9758,	7.84023,	-50.2225,	-10.8571,	17.8201,	-9.76849,
-117294.311523438,	31.1444,	26.3826,	24.2739,	-16.9989,	3.35898,	15.3805,
-117218.017578125,	-21.0656,	-26.393,	8.6882,	53.2586,	-22.0753,	-17.2546,
-117141.723632812,	26.931,	4.81785,	-18.0057,	-49.2272,	10.8289,	5.0152,
-117065.4296875,	-31.1873,	7.1939,	6.79669,	8.80986,	9.47485,	21.7512,
-116989.135742188,	19.4948,	-4.19662,	10.7603,	20.0745,	-2.05444,	-28.8463,
-116912.841796875,	5.81879,	-1.75733,	-8.03523,	-22.1868,	-8.70508,	16.9866,
-116836.547851562,	-19.7755,	6.05264,	-18.1245,	11.8261,	10.0305,	-4.53775,
-116760.25390625,	10.3861,	-3.75242,	30.2435,	-4.78027,	-10.2928,	-13.2015,
-116683.959960938,	-8.09728,	-3.54167,	-13.3144,	-1.68218,	-0.205108,	25.7739,
-116607.666015625,	33.3741,	3.79721,	-9.54885,	18.3638,	-1.68798,	-23.4785,
-116531.372070312,	-52.4834,	4.30511,	19.4398,	-19.1743,	9.36819,	19.7855,
-116455.078125,	28.4908,	-7.33697,	-25.0475,	-4.63227,	5.17523,	-26.7268,
-116378.784179688,	5.85916,	-4.08603,	21.0227,	29.8832,	-20.7187,	26.9835,
-116302.490234375,	-8.15243,	10.6626,	5.20284,	-31.9488,	33.0902,	-23.3408,
-116226.196289062,	3.12289,	6.15815,	-23.9437,	0.344784,	-46.8726,	22.6057,
-116149.90234375,	-13.7542,	-32.9982,	9.96145,	24.2125,	30.7757,	-10.0365,
-116073.608398438,	21.4361,	36.4187,	16.2749,	-15.7213,	-3.98421,	-8.61117,
-115997.314453125,	-4.2148,	-5.60841,	-17.1063,	6.67028,	7.43325,	23.8713,
-115921.020507812,	-20.3439,	-15.733,	4.06162,	-16.2728,	-5.93728,	-27.957,
-115844.7265625,	22.0737,	4.5089,	-8.18909,	23.9921,	-7.22449,	15.4657,
-115768.432617188,	-10.1135,	4.50619,	20.6371,	-19.2616,	-4.06133,	7.12135,
-115692.138671875,	5.81486,	7.31273,	-29.6905,	14.6627,	28.8929,	-27.7912,
-115615.844726562,	-14.9382,	-16.3231,	9.0957,	-11.8517,	-28.1443,	37.0513,
-115539.55078125,	18.0349,	8.23046,	25.4484,	6.75777,	5.95547,	-26.7068,
-115463.256835938,	-11.1259,	2.60626,	-20.0098,	-18.1627,	-5.12036,	-1.64186,
-115386.962890625,	22.8666,	-10.8196,	-1.05094,	35.2823,	12.0664,	34.2191,
-115310.668945312,	-40.0312,	13.3325,	3.94825,	-18.0605,	-11.4,	-41.6155,
-115234.375,	17.1172,	-4.78687,	-8.73525,	-19.3179,	22.9389,	28.358,
-115158.081054688,	29.4474,	2.98505,	7.98075,	33.1315,	-37.4302,	-31.3496,
-115081.787109375,	-35.8031,	-12.138,	0.740168,	-17.4527,	27.8958,	34.7807,
-115005.493164062,	7.80838,	21.9101,	7.68027,	10.5395,	5.82064,	-18.3146,
-114929.19921875,	13.1382,	-34.0189,	-14.1236,	-22.145,	-25.929,	-3.30759,
-114852.905273438,	-20.6112,	33.8491,	-0.668858,	15.0875,	19.968,	6.70283,
-114776.611328125,	13.4888,	-10.7555,	18.0537,	16.4542,	-16.8577,	9.82621,
-114700.317382812,	-3.44592,	-8.40405,	-12.0008,	-36.5301,	13.1029,	-23.5294,
-114624.0234375,	3.44688,	8.53689,	-6.15055,	25.3322,	4.73622,	27.7667,
-114547.729492188,	-5.77394,	2.94126,	-5.42346,	1.38227,	-22.3519,	-3.88098,
-114471.435546875,	9.88271,	-16.8911,	28.6446,	-18.7467,	28.8474,	-35.3378,
-114395.141601562,	-24.6157,	17.4636,	-13.3294,	14.2357,	-7.10914,	32.1358,
-114318.84765625,	23.4177,	-12.4293,	-15.9555,	1.2559,	-25.4997,	-6.45669,
-114242.553710938,	11.0865,	19.5795,	16.3574,	4.35147,	29.5002,	-3.6954,
-114166.259765625,	-36.8352,	-19.0834,	17.1958,	-28.0875,	-4.59737,	7.44612,
-114089.965820312,	24.776,	2.13071,	-51.2716,	22.4576,	-19.8274,	-10.4998,
-114013.671875,	-4.49697,	-4.84984,	40.0171,	12.2307,	21.3917,	6.29852,
-113937.377929688,	-5.0191,	18.5182,	-0.322774,	-27.8085,	-19.8556,	12.79,
-113861.083984375,	22.5593,	-13.1983,	-25.4529,	13.5934,	26.2795,	-21.0233,
-113784.790039062,	-43.421,	9.88744,	24.5229,	-8.46816,	-24.9198,	-4.72028,
-113708.49609375,	47.4815,	-25.047,	-6.42529,	29.2585,	14.0367,	30.1643,
-113632.202148438,	-41.8634,	39.1066,	-15.1927,	-36.5298,	-12.8072,	-23.8942,
-113555.908203125,	43.0035,	-30.8813,	29.8448,	13.9332,	23.7432,	10.5113,
-113479.614257812,	-32.4715,	10.7111,	-23.6496,	-6.99121,	-17.2734,	-1.07394,
-113403.3203125,	5.76092,	4.28733,	9.59906,	21.0488,	-1.15849,	-4.07248,
-113327.026367188,	10.0827,	-21.6813,	-6.9976,	-16.1164,	6.64182,	6.42478,
-113250.732421875,	-10.3391,	41.66,	-1.96482,	-3.90003,	1.3427,	-24.6557,
-113174.438476562,	-3.80102,	-38.1783,	14.3556,	24.2149,	-14.9798,	41.771,
-113098.14453125,	16.6601,	6.073,	-11.8634,	-39.273,	24.084,	-34.9148,
-113021.850585938,	-16.4957,	12.4491,	5.17902,	30.8887,	-32.0236,	13.8563,
-112945.556640625,	5.44579,	0.685329,	-9.1117,	-4.1544,	34.7627,	-6.07754,
-112869.262695312,	0.0857787,	-14.9186,	25.5219,	-6.91791,	-22.3792,	5.74645,
-112792.96875,	21.1259,	15.9539,	-35.4474,	-8.87789,	15.9103,	3.88881,
-112716.674804688,	-38.6009,	-6.17946,	21.9707,	22.127,	-22.7998,	-7.1935,
-112640.380859375,	32.5471,	-4.63945,	-3.23717,	-19.2388,	19.6665,	-0.8147,
-112564.086914062,	-9.59001,	8.49399,	3.4809,	2.78749,	-13.6028,	12.3572,
-112487.79296875,	-22.7666,	-16.2361,	-16.3945,	22.3959,	20.8816,	-27.7396,
-112411.499023438,	26.9004,	15.1226,	16.8091,	-36.58,	-24.7795,	28.5279,
-112335.205078125,	0.0255775,	-7.30154,	2.3477,	33.9627,	15.5608,	-3.25253,
-112258.911132812,	-9.85543,	16.7737,	-20.0422,	-14.0415,	5.99161,	-9.35202,
-112182.6171875,	-3.00615,	-13.5994,	18.7159,	-3.55279,	-28.7184,	-3.12797,
-112106.323242188,	5.30919,	-7.68803,	-4.5831,	-4.00847,	32.7142,	12.2016,
-112030.029296875,	4.68694,	8.2879,	-5.12728,	17.7341,	-28.9767,	-2.93253,
-111953.735351562,	-13.6275,	12.7933,	12.5194,	-3.2507,	16.3104,	-21.4729,
-111877.44140625,	10.053,	-31.1171,	-23.0873,	-31.9842,	-3.21069,	39.9706,
-111801.147460938,	0.159187,	26.9086,	17.2415,	45.1697,	23.3792,	-45.2472,
-111724.853515625,	-5.18226,	-4.80322,	-12.7207,	-32.2388,	-46.2097,	38.5844,
-111648.559570312,	4.05499,	0.806236,	18.6486,	19.9304,	29.5053,	-15.1116,
-111572.265625,	6.38178,	-15.7593,	-3.00657,	-14.5034,	-4.19981,	1.25633,
-111495.971679688,	-16.2674,	7.04281,	-12.539,	5.63216,	5.93115,	-18.8354,
-111419.677734375,	14.0774,	13.908,	5.84827,	-1.80212,	-12.3125,	38.1105,
-111343.383789062,	-8.22681,	-17.5051,	6.71536,	5.76307,	3.34686,	-43.9023,
-111267.08984375,	13.6778,	9.06598,	-10.2159,	0.110329,	4.61283,	45.0944,
-111190.795898438,	-7.62418,	-2.25426,	12.691,	-2.82276,	-1.99736,	-36.8005,
-111114.501953125,	-12.2124,	15.4809,	-12.364,	-9.83249,	-0.0927029,	20.995,
-111038.208007812,	4.17931,	-36.3235,	-2.83499,	14.6591,	-0.964915,	-15.3315,
-110961.9140625,	12.0457,	26.0162,	7.42856,	3.41626,	3.26402,	28.9144,
-110885.620117188,	0.763626,	-7.04911,	9.46167,	-17.9246,	-0.144688,	-26.8043,
-110809.326171875,	-13.5488,	17.4603,	-16.3785,	9.15202,	-13.9146,	-2.45412,
-110733.032226562,	4.73142,	-29.5235,	3.6895,	1.10939,	23.1718,	20.7854,
-110656.73828125,	3.82028,	9.97833,	6.73131,	-7.64417,	-33.2342,	-13.9814,
-110580.444335938,	-4.18796,	24.2425,	0.138589,	17.4907,	47.8639,	-2.95449,
-110504.150390625,	0.616416,	-32.2517,	-9.41283,	-22.8115,	-40.4752,	5.58177,
-110427.856445312,	13.6228,	14.7497,	2.13819,	16.6067,	26.8604,	10.1692,
-110351.5625,	-29.4146,	4.96115,	16.5077,	-7.59356,	-32.7078,	-26.8397,
-110275.268554688,	32.6534,	-20.5437,	-30.4443,	0.0459156,	30.0493,	20.5342,
-110198.974609375,	-18.9705,	38.185,	19.271,	8.10007,	-15.3384,	12.66,
-110122.680664062,	6.26893,	-43.1976,	-3.72581,	-9.05928,	4.63244,	-18.8939,
-110046.38671875,	-8.36466,	10.9901,	23.8349,	-4.3311,	-0.58846,	-18.3987,
-109970.092773438,	3.54569,	14.9378,	-36.1508,	23.7377,	21.0836,	36.636,
-109893.798828125,	2.34037,	5.43636,	4.98471,	-12.4909,	-47.8816,	-26.5767,
-109817.504882812,	-6.85267,	-26.4405,	21.5133,	-14.0045,	55.2436,	30.4548,
-109741.2109375,	22.6729,	19.7953,	-24.584,	10.0351,	-52.6753,	-34.4139,
-109664.916992188,	-15.7745,	-9.30182,	9.94232,	-0.90402,	37.3294,	21.0979,
-109588.623046875,	-15.8388,	19.3025,	9.88555,	11.2897,	-9.66145,	-9.53989,
-109512.329101562,	31.4951,	-42.0277,	-11.3995,	-24.7816,	-20.6171,	1.62279,
-109436.03515625,	-27.6338,	41.0449,	-1.87083,	30.2641,	44.0103,	2.41913,
-109359.741210938,	19.7577,	-22.4198,	19.7814,	-28.3585,	-54.1983,	3.89292,
-109283.447265625,	-5.48388,	9.2372,	-33.4361,	16.5986,	44.6999,	-17.8151,
-109207.153320312,	-4.16953,	6.03075,	18.4876,	-2.79564,	-10.4362,	26.274,
-109130.859375,	-12.7042,	-13.8799,	17.6134,	-2.52488,	-15.5873,	-14.1921,
-109054.565429688,	31.587,	7.70172,	-24.326,	5.51925,	16.2372,	-5.61693,
-108978.271484375,	-28.699,	-7.64627,	1.392,	0.484231,	-10.218,	8.07681,
-108901.977539062,	12.7913,	4.38476,	12.2285,	-10.5284,	8.68471,	-1.0942,
-108825.68359375,	2.48538,	6.8289,	-5.49009,	9.88384,	-26.091,	-2.52823,
-108749.389648438,	-3.37085,	-5.31839,	-9.44697,	-2.54603,	50.7488,	5.57887,
-108673.095703125,	10.8362,	0.969219,	12.2806,	1.88368,	-52.8846,	5.08902,
-108596.801757812,	-39.7347,	-0.515821,	0.0173225,	-21.6795,	39.1766,	-35.0335,
-108520.5078125,	42.7636,	4.06803,	-21.4785,	30.2422,	-29.5439,	44.0682,
-108444.213867188,	-21.4472,	-28.8936,	35.4376,	-14.3702,	28.2982,	-17.9993,
-108367.919921875,	27.6219,	55.2417,	-11.4007,	7.85317,	-32.9811,	1.85507,
-108291.625976562,	-41.4685,	-45.9753,	-18.0203,	-3.93153,	27.0515,	-1.41097,
-108215.33203125,	29.0755,	15.2159,	17.4744,	-1.63984,	-0.296236,	1.33782,
-108139.038085938,	-8.47897,	-2.9868,	-18.9011,	5.49689,	-22.4357,	-1.36123,
-108062.744140625,	-5.19086,	20.1007,	31.3503,	-21.2937,	22.8283,	-10.5621,
-107986.450195312,	11.4924,	-37.4277,	-30.2224,	28.234,	-8.69557,	16.5287,
-107910.15625,	-14.8353,	31.0517,	13.8237,	-8.76694,	0.514034,	-4.95882,
-107833.862304688,	21.0076,	-4.8292,	-8.14932,	-22.0403,	-10.1559,	-8.5483,
-107757.568359375,	-22.4839,	-18.9189,	13.2208,	32.0077,	17.889,	11.5379,
-107681.274414062,	14.5478,	24.4406,	-5.46188,	-13.6118,	-8.94914,	1.46186,
-107604.98046875,	0.143925,	-11.0597,	-13.529,	3.59569,	4.65754,	-21.5236,
-107528.686523438,	-4.85699,	-17.8482,	20.1264,	-12.6187,	-11.4024,	32.0399,
-107452.392578125,	-1.15912,	23.3828,	-11.3834,	14.234,	1.06977,	-21.8734,
-107376.098632812,	3.5627,	1.09339,	10.888,	-5.1235,	8.60318,	7.67207,
-107299.8046875,	0.510221,	1.0814,	-5.39923,	-6.26939,	2.6721,	-1.21033,
-107223.510742188,	-0.19841,	-31.8893,	-17.282,	20.0596,	-6.34288,	-9.49954,
-107147.216796875,	-17.2998,	34.5871,	23.6187,	-22.4333,	2.0081,	12.1367,
-107070.922851562,	16.9367,	-6.11175,	4.62453,	23.3989,	-3.62477,	12.6788,
-106994.62890625,	5.65971,	-5.58179,	-37.3517,	-36.9056,	11.9166,	-36.9736,
-106918.334960938,	0.670094,	-1.12382,	27.228,	31.1162,	-18.3571,	31.4414,
-106842.041015625,	-15.1554,	5.85187,	14.6854,	-2.91118,	14.6887,	-12.8276,
-106765.747070312,	9.67693,	-17.7832,	-30.4822,	3.90173,	-7.61682,	15.7659,
-106689.453125,	-16.675,	21.2505,	5.97768,	-30.4673,	0.361221,	-28.0573,
-106613.159179688,	27.3355,	-11.4991,	26.559,	38.7703,	-5.08468,	10.718,
-106536.865234375,	-25.5557,	14.449,	-46.1082,	-28.4337,	27.3989,	9.86573,
-106460.571289062,	21.4751,	-17.5275,	50.1403,	10.2722,	-37.4535,	-2.77695,
-106384.27734375,	-10.8999,	5.39077,	-20.6888,	7.42843,	29.4341,	-12.9804,
-106307.983398438,	-4.15728,	-0.996469,	-19.9661,	-6.06919,	-27.3786,	11.4442,
-106231.689453125,	7.53385,	22.3939,	26.6156,	-8.9038,	20.9999,	4.35843,
-106155.395507812,	13.4879,	-28.9911,	-22.2166,	6.42979,	-1.68569,	-5.88001,
-106079.1015625,	-38.9645,	6.37033,	17.71,	12.5386,	2.02594,	10.2111,
-106002.807617188,	43.236,	4.13684,	-12.5434,	-16.7346,	-14.4103,	-29.5103,
-105926.513671875,	-30.0313,	4.66437,	23.091,	7.64774,	-0.173926,	34.497,
-105850.219726562,	-0.040905,	-12.899,	-31.4891,	-7.08767,	15.0233,	-30.9758,
-105773.92578125,	42.1516,	10.4674,	30.1656,	6.19199,	-7.76949,	23.1031,
-105697.631835938,	-63.34,	-4.71544,	-18.7768,	-5.9543,	4.69792,	-25.1732,
-105621.337890625,	49.1629,	-3.30958,	-2.73098,	10.4376,	-13.1002,	42.3352,
-105545.043945312,	-22.0192,	14.8682,	8.88186,	-12.8178,	23.1874,	-28.3369,
